Experiment Tracking,,,,,,,,,,Pre-brewing variables,,,,,Brewing variables,,,,Post Brewing variables (Changes made on same brewed coffee),,,,Quantitivate outcomes,,,Aroma outcome,,Taste outcome,,,,,Aftertaste outcome,,,Overall points,,
Experiment num,Roaster,Coffee Name/Farm,Country,Roast,Process,Tasing Notes,Roast date,Brew date,Days off roast,Coffee weight,Ratio,Grind Size,Temperature,Filter Paper,Bloom,Pour 1,Pour 2,Pour 3,Temperature (Hot or warm/cold),Water bypass,Minerals,coffee weight,Drawdown time,TDS,Extraction Yield,Aroma intensity,Aroma Notes,Acidity intensity,Sweetness intensity,Bitterness intensity,Body weight,Flavor Notes,Aftertaste duration,Aftertaste intensity,Aftertaste notes,Overall Score,Overall notes,Points of improvement
1,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 30 seconds","90g, circular motion","90g, circular motion",,,,NA,,,,,,,,,,,,,,,,Vibrant lemon acidity,
1,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 30 seconds","180g, circular motion",NA,,,,NA,,,,,,,,,,,,,,,,Mellow lemon acidity,
1,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Cafec Abaca Filter,"Bloom: 45g, 1 min 30 seconds","180g, circular motion",NA,,,,NA,,,,,,,,,,,,,,,,"No acidity, holds more complexity, though can't quite pinpoint the flavors",
2,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,NA,,,,,,,,,,,,,,,,"Acidity/sweetness from raisins and subtle floral flavors, bitterness from stone fruits?",
2,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Cafec TH-3 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,NA,,,,,,,,,,,,,,,,"Almost no acidity, mainly bitterness of stone fruit?",
2,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Cafec TH-3 filter,"Bloom: 45g, 1 min 15 seconds","180g, circular motion",NA,,,,NA,,,,,,,,,,,,,,,,Some bitterness from stone fruits,
2,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,NA,,,,,,,,,,,,,,,,"Acidity/sweetness from cherries, and some floral notes, greater body",
3,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,NA,,,,,,,,,,,,,,,,"Acidity/sweetness from cherries, and some floral notes, greater body",
3,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,Added Catalyst liquid concentrate,,,,,,,,,,,,,,,,"Some sweetness from cherries, and some floral notes, greater body",
3,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,Added Affinity liquid concentrate,,,,,,,,,,,,,,,,"balanced acidity/sweetness from cherries, and some floral notes",
4,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,88 degrees celcius,Cafec TH-3 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"strangely. just a bit of bitterness, and a tinge of acidity, not much flavor",
4,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,91 degrees celcius,Cafec TH-3 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,," the cherries are somewhat coming up, but not much",
4,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,88 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,affinity at the end,,,,,,,,,,,,,,,,"Acidity/sweetness from cherries, and some floral notes, greater body, no longer taste much bitterness from previous experiment. but slightly lighter, qn: where is the sweetness? after affinity, the bitterness and acidity were removed and seemed to combined into a nice whole, not quite sweetness, but definitely more palatable",
